COUNTYNAME,fuel97,fuel02,fuel07,fuel12,fert97,fert02,fert07,fert12
Adams,4220,4015,9152,16867,20617,16342,32925,87730
Ashland,1114,1382,3490,4006,1641,1972,7702,6394
Barron,3609,3469,7768,15990,4163,6447,12400,24518
Bayfield,1360,1418,3572,2965,1224,1557,3020,3874
Brown,3029,3358,7880,9737,5015,5948,10127,16081
Buffalo,2948,3210,6380,9816,5252,5590,9519,19034
Burnett,1741,1823,2966,4643,3306,4718,5971,18724
Calumet,3036,3073,7814,11356,5075,5746,10622,20559
Chippewa,2993,2927,6190,7228,4511,4960,9674,19626
Clark,2320,2463,5315,7466,3958,4050,8102,13424
Columbia,3079,2935,5957,6826,6531,8348,16133,30187
Crawford,2060,1564,2765,4000,2724,3324,6734,12667
Dane,3266,3526,6975,8388,7859,7473,13656,25096
Dodge,3282,3322,6704,9117,5879,6284,13058,25101
Door,1962,2167,4851,5413,3394,3667,7628,14712
Douglas,1079,881,1621,2141,2010,1699,2720,3848
Dunn,3293,2703,5690,9334,6418,7704,13935,29815
Eau Claire,2582,1753,3552,5059,3486,4470,7368,15985
Florence,1084,816,1929,2146,1491,2000,3689,2257
Fond Du Lac,3544,3901,7641,12043,6264,8401,13634,26348
Forest,1345,962,1636,2940,2305,1983,3018,4514
Grant,3307,2873,5964,8795,5497,6193,11588,22911
Green,3338,2707,6344,7493,7436,10278,16848,27719
Green Lake,2422,2661,5648,8316,5817,7695,15409,31490
Iowa,2896,2493,4633,6845,6505,6276,11186,20489
Iron,1367,1717,2926,5847,0,0,4375,9957
Jackson,3071,2893,6338,10368,5327,6314,11338,23405
Jefferson,3086,2532,5486,8288,6114,7415,13092,25695
Juneau,2223,2573,5838,7575,6179,8199,15004,27646
Kenosha,4042,2620,6110,9772,9008,11206,19903,37989
Kewaunee,3376,3559,9041,15465,4864,5784,11534,20097
La Crosse,2083,1973,4327,5905,3263,3358,8159,17678
Lafayette,4592,4154,8140,12017,8549,10432,19091,33310
Langlade,3438,3611,8210,12847,9585,10577,19185,40014
Lincoln,1861,1861,4194,4236,1953,2253,3989,7433
Manitowoc,2874,2984,6682,10464,5442,4862,10156,20504
Marathon,2281,2347,5591,8615,3414,4260,8196,13776
Marinette,2258,2135,5298,8754,4346,4803,9447,22646
Marquette,2703,2680,5406,9314,6306,6451,12544,34919
Menominee,500,750,500,1400,0,0,0,0
Milwaukee,5989,6205,9624,6840,3145,4688,5493,5719
Monroe,2083,1774,3905,5374,2955,3837,6864,12802
Oconto,2470,2230,5495,11372,5694,5103,10053,22280
Oneida,3342,2906,4988,8427,9583,7174,15930,19943
Outagamie,3093,2949,6785,12093,6355,7798,15328,26302
Ozaukee,2604,2988,6142,7424,5156,5504,9794,14632
Pepin,2799,2270,4973,8977,4541,4768,9631,18268
Pierce,2580,2056,4275,6586,4884,5809,10523,22024
Polk,2039,1823,4051,5747,4283,5283,10259,24184
Portage,3393,3884,8702,12482,11688,15089,25971,59777
Price,1911,1676,2952,4192,2515,1648,4307,6180
Racine,5139,4017,7669,7943,8358,9774,17631,31532
Richland,2245,1665,3634,5825,3525,4453,6875,14052
Rock,4089,2862,5924,8700,10834,10601,21475,36570
Rusk,2116,1899,4479,7058,2751,3018,5684,13098
Sauk,2909,2725,4991,7953,4764,5105,9293,23388
Sawyer,2174,2109,4611,9911,3610,4563,8371,17000
Shawano,2295,2774,6272,8807,4196,4345,9237,18286
Sheboygan,2546,2744,6440,11410,5591,5245,10795,23014
StCroix,2577,2236,4954,6567,5480,5829,11644,28320
Taylor,2183,2084,4015,7168,3051,4180,5969,16209
Trempealeau,2391,2138,4717,7563,5740,5485,11109,22367
Vernon,1633,2152,4378,4338,1750,2418,4910,11417
Vilas,4089,3257,6826,9333,8542,8850,10276,28563
Walworth,4363,3281,6800,9764,9418,10008,18346,36761
Washburn,1464,1673,2620,4379,4478,4821,7080,20056
Washington,2751,2635,5713,9210,3995,5237,10471,19966
Waukesha,2970,1951,4231,5353,6882,4485,10588,24182
Waupaca,2058,1970,4858,7940,4526,4603,9910,17654
Waushara,3328,3748,7767,9176,11780,13644,23908,50155
Winnebago,2649,2088,4744,5877,5431,7288,10813,18261
Wood,2668,2591,5561,8500,4006,5447,9195,17558
